"year","country","scorer","year_count_goals","count_goals","country_year_top_player","country_top_player","world_top_player"
"1916",Argentina,Alberto Ohaco,2,4,1,18,46
"1916",Argentina,Alberto Marcovecchio,2,2,1,20,48
"1916",Argentina,Juan Domingo Brown,2,2,1,20,48
"1916",Argentina,José Durand Laguna,1,1,2,21,49
"1916",Brazil,Arthur Friedenreich,1,7,1,19,43
"1916",Brazil,Demóstenes Correia de Syllos,1,1,1,25,49
"1916",Brazil,Manoel Alencar Monte,1,1,1,25,49
"1916",Chile,Hernando Salazar,1,1,1,16,49
"1916",Chile,Telésforo Báez,1,1,1,16,49
"1916",Uruguay,Isabelino Gradín,3,5,1,13,45
"1916",Uruguay,José Piendibene,2,4,2,14,46
"1916",Uruguay,Jose Tognola,1,1,3,17,49
"1917",Argentina,Alberto Ohaco,2,4,1,18,46
"1917",Argentina,Luis García,1,5,2,17,45
"1917",Argentina,Antonio Blanco,1,1,2,21,49
"1917",Argentina,Pedro Calomino,1,1,2,21,49
"1917",Brazil,Neco,2,8,1,18,42
"1917",Brazil,Haroldo Domingues,2,3,1,23,47
"1917",Brazil,Amílcar Barbuy,1,4,2,22,46
"1917",Brazil,Caetano Izzo,1,1,2,25,49
"1917",Brazil,Silvio Lagreca,1,1,2,25,49
"1917",Uruguay,Ángel Romano,4,12,1,6,38
"1917",Uruguay,Carlos Scarone,3,6,2,12,44
"1917",Uruguay,Héctor Scarone,2,14,3,5,36
"1919",Argentina,Carlos Izaguirre,3,3,1,19,47
"1919",Argentina,Edwin Clarcke,3,3,1,19,47
"1919",Argentina,Manuel Varela,1,1,2,21,49
"1919",Brazil,Neco,4,8,1,18,42
"1919",Brazil,Arthur Friedenreich,4,7,1,19,43
"1919",Brazil,Amílcar Barbuy,1,4,2,22,46
"1919",Brazil,Haroldo Domingues,1,3,2,23,47
"1919",Brazil,Adolpho Millón Junior,1,1,2,25,49
"1919",Brazil,Heitor,1,1,2,25,49
"1919",Chile,Alfredo France,1,1,1,16,49
"1919",Uruguay,Carlos Scarone,3,6,1,12,44
"1919",Uruguay,Isabelino Gradín,2,5,2,13,45
"1919",Uruguay,Héctor Scarone,1,14,3,5,36
"1919",Uruguay,José Pérez,1,4,3,14,46
"1920",Argentina,Raúl Echeverría,2,3,1,19,47
"1920",Argentina,Julio Libonatti,1,4,2,18,46
"1920",Argentina,Miguel Dellavalle,1,1,2,21,49
"1920",Brazil,Ismael Alvariza,1,1,1,25,49
"1920",Chile,Aurelio Domínguez,1,1,1,16,49
"1920",Chile,Hernando Bolados,1,1,1,16,49
"1920",Uruguay,Ángel Romano,3,12,1,6,38
"1920",Uruguay,José Pérez,3,4,1,14,46
"1920",Uruguay,José Piendibene,1,4,2,14,46
"1920",Uruguay,Antonio Urdinarán,1,2,2,16,48
"1920",Uruguay,Antonio Campolo,1,1,2,17,49
"1921",Argentina,Julio Libonatti,3,4,1,18,46
"1921",Argentina,Blas Saruppo,1,3,2,19,47
"1921",Argentina,Raúl Echeverría,1,3,2,19,47
"1921",Brazil,Ernesto Duarte Machado da Silva,2,2,1,24,48
"1921",Brazil,Aníbal Médicis Candiota,1,1,2,25,49
"1921",Brazil,José Carlos Guimarães,1,1,2,25,49
"1921",Paraguay,Ildefonso López,1,7,1,8,43
"1921",Paraguay,Gerardo Rivas,1,6,1,9,44
"1921",Uruguay,Ángel Romano,2,12,1,6,38
"1921",Uruguay,José Piendibene,1,4,2,14,46
"1922",Argentina,Julio Francia,4,4,1,18,46
"1922",Argentina,Angel Chiessa,1,1,2,21,49
"1922",Argentina,José Gaslini,1,1,2,21,49
"1922",Brazil,Neco,2,8,1,18,42
"1922",Brazil,Amílcar Barbuy,2,4,1,22,46
"1922",Brazil,Xavier Camargo,2,2,1,24,48
"1922",Brazil,Altino Marcondes,1,1,2,25,49
"1922",Chile,Manuel Bravo Paredes,1,1,1,16,49
"1922",Paraguay,Ildefonso López,1,7,1,8,43
"1922",Paraguay,Gerardo Rivas,1,6,1,9,44
"1922",Paraguay,Luis Fretes,1,3,1,12,47
"1922",Paraguay,Carlos Elizeche,1,1,1,14,49
"1922",Paraguay,Julio Ramírez,1,1,1,14,49
"1922",Uruguay,Antonio Urdinarán,1,2,1,16,48
"1922",Uruguay,Felipe Buffoni,1,1,1,17,49
"1922",Uruguay,Juan Carlos Heguy,1,1,1,17,49
"1923",Argentina,Vicente Aguirre,3,3,1,19,47
"1923",Argentina,Blas Saruppo,2,3,2,19,47
"1923",Argentina,Cesáreo Onzari,1,1,3,21,49
"1923",Brazil,Nilo Braga,2,6,1,20,44
"1923",Paraguay,Ildefonso López,1,7,1,8,43
"1923",Paraguay,Gerardo Rivas,1,6,1,9,44
"1923",Paraguay,Luis Fretes,1,3,1,12,47
"1923",Paraguay,Agustín Zelada,1,1,1,14,49
"1923",Uruguay,Pedro Petrone,3,10,1,8,40
"1923",Uruguay,Héctor Scarone,1,14,2,5,36
